股票代码,股票名称,year,statDate,indicator,value
600036,招商银行,2020,2020-12-31,roeAvg,0.145825
601398,工商银行,2020,2020-12-31,roeAvg,0.113438
600519,贵州茅台,2020,2020-12-31,roeAvg,0.314108
858,五粮液,2020,2020-12-31,roeAvg,0.24944
600276,恒瑞医药,2020,2020-12-31,roeAvg,0.228959
625,长安汽车,2020,2020-12-31,roeAvg,0.068233
600887,伊利股份,2020,2020-12-31,roeAvg,0.250489
601088,中国神华,2020,2020-12-31,roeAvg,0.11001
600028,中国石化,2020,2020-12-31,roeAvg,0.044443
600036,招商银行,2021,2021-12-31,roeAvg,0.151561
601398,工商银行,2021,2021-12-31,roeAvg,0.113258
600519,贵州茅台,2021,2021-12-31,roeAvg,0.299036
858,五粮液,2021,2021-12-31,roeAvg,0.253034
600276,恒瑞医药,2021,2021-12-31,roeAvg,0.138312
625,长安汽车,2021,2021-12-31,roeAvg,0.065097
600887,伊利股份,2021,2021-12-31,roeAvg,0.222939
601088,中国神华,2021,2021-12-31,roeAvg,0.136403
600028,中国石化,2021,2021-12-31,roeAvg,0.093845
600941,中国移动,2021,2021-12-31,roeAvg,0.101491
600036,招商银行,2022,2022-12-31,roeAvg,0.152986
601398,工商银行,2022,2022-12-31,roeAvg,0.106764
600519,贵州茅台,2022,2022-12-31,roeAvg,0.324077
858,五粮液,2022,2022-12-31,roeAvg,0.250507
600276,恒瑞医药,2022,2022-12-31,roeAvg,0.107277
625,长安汽车,2022,2022-12-31,roeAvg,0.131518
600887,伊利股份,2022,2022-12-31,roeAvg,0.192517
601088,中国神华,2022,2022-12-31,roeAvg,0.180676
600028,中国石化,2022,2022-12-31,roeAvg,0.084966
600941,中国移动,2022,2022-12-31,roeAvg,0.103127
600036,招商银行,2023,2023-12-31,roeAvg,0.145016
601398,工商银行,2023,2023-12-31,roeAvg,0.100383
600519,贵州茅台,2023,2023-12-31,roeAvg,0.361755
858,五粮液,2023,2023-12-31,roeAvg,0.248051
600276,恒瑞医药,2023,2023-12-31,roeAvg,0.109911
625,长安汽车,2023,2023-12-31,roeAvg,0.168174
600887,伊利股份,2023,2023-12-31,roeAvg,0.200921
601088,中国神华,2023,2023-12-31,roeAvg,0.148762
600028,中国石化,2023,2023-12-31,roeAvg,0.075989
600941,中国移动,2023,2023-12-31,roeAvg,0.102602
600036,招商银行,2024,2024-12-31,roeAvg,0.128902
601398,工商银行,2024,2024-12-31,roeAvg,0.094701
600519,贵州茅台,2024,2024-12-31,roeAvg,0.384283
858,五粮液,2024,2024-12-31,roeAvg,0.242374
600276,恒瑞医药,2024,2024-12-31,roeAvg,0.147386
625,长安汽车,2024,2024-12-31,roeAvg,0.098651
600887,伊利股份,2024,2024-12-31,roeAvg,0.158413
601088,中国神华,2024,2024-12-31,roeAvg,0.140435
600028,中国石化,2024,2024-12-31,roeAvg,0.061896
600941,中国移动,2024,2024-12-31,roeAvg,0.103916
600036,招商银行,2020,2020-12-31,npMargin,0.337229
601398,工商银行,2020,2020-12-31,npMargin,0.359916
600519,贵州茅台,2020,2020-12-31,npMargin,0.521763
858,五粮液,2020,2020-12-31,npMargin,0.364846
600276,恒瑞医药,2020,2020-12-31,npMargin,0.227474
625,长安汽车,2020,2020-12-31,npMargin,0.038887
600887,伊利股份,2020,2020-12-31,npMargin,0.073546
601088,中国神华,2020,2020-12-31,npMargin,0.202625
600028,中国石化,2020,2020-12-31,npMargin,0.019824
600036,招商银行,2021,2021-12-31,npMargin,0.364779
601398,工商银行,2021,2021-12-31,npMargin,0.371479
600519,贵州茅台,2021,2021-12-31,npMargin,0.524724
858,五粮液,2021,2021-12-31,npMargin,0.370153
600276,恒瑞医药,2021,2021-12-31,npMargin,0.173092
625,长安汽车,2021,2021-12-31,npMargin,0.03428
600887,伊利股份,2021,2021-12-31,npMargin,0.079278
601088,中国神华,2021,2021-12-31,npMargin,0.177077
600028,中国石化,2021,2021-12-31,npMargin,0.031023
600941,中国移动,2021,2021-12-31,npMargin,0.136863
600036,招商银行,2022,2022-12-31,npMargin,0.404005
601398,工商银行,2022,2022-12-31,npMargin,0.393292
600519,贵州茅台,2022,2022-12-31,npMargin,0.526795
858,五粮液,2022,2022-12-31,npMargin,0.378142
600276,恒瑞医药,2022,2022-12-31,npMargin,0.17932
625,长安汽车,2022,2022-12-31,npMargin,0.063872
600887,伊利股份,2022,2022-12-31,npMargin,0.075944
601088,中国神华,2022,2022-12-31,npMargin,0.237002
600028,中国石化,2022,2022-12-31,npMargin,0.022831
600941,中国移动,2022,2022-12-31,npMargin,0.134001
600036,招商银行,2023,2023-12-31,npMargin,0.436438
601398,工商银行,2023,2023-12-31,npMargin,0.433079
600519,贵州茅台,2023,2023-12-31,npMargin,0.52488
858,五粮液,2023,2023-12-31,npMargin,0.378528
600276,恒瑞医药,2023,2023-12-31,npMargin,0.187461
625,长安汽车,2023,2023-12-31,npMargin,0.062803
600887,伊利股份,2023,2023-12-31,npMargin,0.081778
601088,中国神华,2023,2023-12-31,npMargin,0.202866
600028,中国石化,2023,2023-12-31,npMargin,0.021806
600941,中国移动,2023,2023-12-31,npMargin,0.130718
600036,招商银行,2024,2024-12-31,npMargin,0.443154
601398,工商银行,2024,2024-12-31,npMargin,0.446513
600519,贵州茅台,2024,2024-12-31,npMargin,0.522734
858,五粮液,2024,2024-12-31,npMargin,0.372228
600276,恒瑞医药,2024,2024-12-31,npMargin,0.226446
625,长安汽车,2024,2024-12-31,npMargin,0.038215
600887,伊利股份,2024,2024-12-31,npMargin,0.073347
601088,中国神华,2024,2024-12-31,npMargin,0.203517
600028,中国石化,2024,2024-12-31,npMargin,0.018717
600941,中国移动,2024,2024-12-31,npMargin,0.133101
600519,贵州茅台,2020,2020-12-31,gpMargin,0.914092
858,五粮液,2020,2020-12-31,gpMargin,0.741597
600276,恒瑞医药,2020,2020-12-31,gpMargin,0.879259
